op_id	operation
0	Operation <0>
1	toplevel <1>
3	Mapping Operation <3>
4	initialize_particles <4>
5	Mapping Operation <5>
6	Mapping Operation <6>
7	PartitionEqualShim <7>
8	init_boxes <8>
9	create_tree <9>
10	create_tree <10>
11	Advance Operation <11>
12	create_tree <12>
13	Open Operation <13>
14	create_tree <14>
15	create_neighb <15>
16	create_Ilist <16>
17	M2M <17>
18	M2M <18>
19	M2M <19>
20	M2M <20>
21	Open Operation <21>
22	M2L <22>
23	eval_forces <23>
24	Open Operation <24>
25	dump_forces <25>
26	dump_forces <26>
27	dump_forces <27>
28	dump_forces <28>
29	Open Operation <29>
30	Inter Close Operation <30>
31	Inter Close Operation <31>
32	Open Operation <32>
33	Open Operation <33>
34	Open Operation <34>
35	Open Operation <35>
36	Fill Operation <36>
37	Fill Operation <37>
38	Fill Operation <38>
39	Fill Operation <39>
40	Fill Operation <40>
41	Fill Operation <41>
42	Fill Operation <42>
43	Fill Operation <43>
44	Fill Operation <44>
45	Post Close Operation <45>
46	create_Ilist <46>
47	Mapping Operation <47>
48	create_Ilist <48>
49	Mapping Operation <49>
50	create_Ilist <50>
51	Mapping Operation <51>
52	create_Ilist <52>
53	Mapping Operation <53>
54	create_Ilist <54>
55	Mapping Operation <55>
56	Post Close Operation <56>
57	create_Ilist <57>
58	Mapping Operation <58>
59	Post Close Operation <59>
60	create_Ilist <60>
61	Mapping Operation <61>
62	Post Close Operation <62>
63	create_Ilist <63>
64	Mapping Operation <64>
65	Post Close Operation <65>
66	Post Close Operation <66>
67	create_Ilist <67>
68	Mapping Operation <68>
69	create_Ilist <69>
70	Mapping Operation <70>
71	Post Close Operation <71>
72	create_Ilist <72>
73	Mapping Operation <73>
74	Post Close Operation <74>
75	create_Ilist <75>
76	Mapping Operation <76>
77	Post Close Operation <77>
78	create_Ilist <78>
79	Mapping Operation <79>
80	Post Close Operation <80>
81	Post Close Operation <81>
82	create_Ilist <82>
83	Mapping Operation <83>
84	create_Ilist <84>
85	Mapping Operation <85>
86	Post Close Operation <86>
87	create_Ilist <87>
88	Mapping Operation <88>
89	Post Close Operation <89>
90	create_Ilist <90>
91	Mapping Operation <91>
92	Post Close Operation <92>
93	create_Ilist <93>
94	Mapping Operation <94>
95	Post Close Operation <95>
96	Post Close Operation <96>
97	create_Ilist <97>
98	Mapping Operation <98>
99	create_Ilist <99>
100	Mapping Operation <100>
101	Post Close Operation <101>
102	create_Ilist <102>
103	Mapping Operation <103>
104	Post Close Operation <104>
105	create_Ilist <105>
106	Mapping Operation <106>
107	Post Close Operation <107>
108	create_Ilist <108>
109	Mapping Operation <109>
110	Post Close Operation <110>
111	Post Close Operation <111>
112	Post Close Operation <112>
113	create_Ilist <113>
114	Mapping Operation <114>
115	create_Ilist <115>
116	Mapping Operation <116>
117	create_Ilist <117>
118	Mapping Operation <118>
119	Post Close Operation <119>
120	create_Ilist <120>
121	Mapping Operation <121>
122	Post Close Operation <122>
123	create_Ilist <123>
124	Mapping Operation <124>
125	Post Close Operation <125>
126	create_Ilist <126>
127	Mapping Operation <127>
128	Post Close Operation <128>
129	Post Close Operation <129>
130	create_Ilist <130>
131	Mapping Operation <131>
132	create_Ilist <132>
133	Mapping Operation <133>
134	Post Close Operation <134>
135	create_Ilist <135>
136	Mapping Operation <136>
137	Post Close Operation <137>
138	create_Ilist <138>
139	Mapping Operation <139>
140	Post Close Operation <140>
141	create_Ilist <141>
142	Mapping Operation <142>
